 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678192560542.218,29,20,560,8798,70766,53828,184,52
1678192563395.916,29,20,560,8743,71542,54409,251,999
1678192564839.237,29,20,560,8798,71329,54409,159,294
1678192567687.112,29,20,560,8780,70977,53986,47,184
1678192569179.358,29,20,560,8761,71400,54038,1002,257
1678192570668.644,29,20,560,8761,71259,53828,1002,160
1678192573539.109,29,20,559,8743,70906,53880,813,49
1678192574981.604,29,20,559,8743,71969,53933,183,57
1678192577787.116,29,20,559,8707,71259,54091,184,53
1678192579233.919,29,20,559,8725,71400,53880,184,54
1678192582029.958,29,20,559,8652,70906,53565,184,55
1678192583457.3318,29,20,559,8725,71400,53775,184,53
1678192586318.522,29,20,559,8761,70977,53880,1002,52
1678192587745.7358,29,20,559,8761,71118,54091,176,56
1678192590580.269,29,20,559,8707,71329,53986,165,107
1678192592064.437,29,20,559,8688,71118,53722,163,999
1678192594854.682,29,20,559,8688,70696,53565,48,188
1678192596354.037,29,20,559,8652,70626,53356,1002,168
1678192599248.2659,29,20,559,8688,70556,53200,1002,75
1678192600731.961,29,20,559,8670,70766,52889,1002,54
1678192603570.701,29,20,559,8652,71826,53148,184,54
1678192604998.698,29,20,558,8707,70626,53408,186,54
1678192607833.011,29,20,558,8670,70766,53044,1002,55
1678192609267.742,29,20,558,8670,71188,53252,186,67
1678192612081.058,29,20,558,8634,71118,53148,185,55
1678192613594.589,29,20,558,8597,70977,52992,1002,55
1678192616485.268,29,20,558,8634,71047,53044,1002,984
1678192617991.944,29,20,557,8615,70836,52631,166,999
1678192619520.06,29,20,557,8707,70486,53096,1002,882
1678192622408.237,29,20,557,8597,70556,52477,1002,251
1678192623893.1921,29,20,556,8615,71400,53148,1002,174
1678192626752.422,29,20,556,8634,71188,52837,190,55
1678192628203.9749,29,20,556,8688,70906,52889,182,53
1678192631024.224,29,20,555,8743,71755,53565,185,644
1678192632495.907,29,20,555,8816,71259,54250,261,471
1678192635409.331,29,20,556,8871,72399,54409,217,894
1678192636858.646,29,20,556,8908,71118,54783,240,283
1678192639756.8171,29,20,556,8926,71755,54836,241,999
1678192641259.082,29,20,555,8871,71826,54676,242,999
1678192642733.146,29,20,555,8871,71259,54409,240,590
1678192645632.701,29,20,555,8853,71047,54409,240,628
1678192647142.224,29,20,555,8853,70696,54091,240,999
1678192650016.344,29,20,555,8835,71047,54091,241,655
1678192651477.223,29,20,556,8798,70836,53933,241,225
1678192654408.5059,29,20,556,8743,71118,53933,240,999
1678192655919.107,29,20,556,8780,71188,54676,241,999
1678192658816.3062,29,20,556,8743,71329,54250,241,674
1678192660321.5498,29,20,555,8707,71118,53722,240,999
1678192661793.531,29,20,555,8725,71400,53933,240,419
1678192664661.0059,29,20,555,8688,70626,53722,242,154
1678192666157.1309,29,20,555,8761,71047,53933,241,999
1678192669039.3,29,20,555,8707,71329,53722,240,446
1678192670507.322,29,20,555,8670,70766,53670,244,587
1678192673377.929,29,20,554,8688,71047,53565,242,998
1678192674815.53,29,20,554,8798,70417,53775,242,153
1678192677677.633,29,20,554,8670,71259,53880,241,536
1678192679125.1062,29,20,554,8652,70347,53408,240,138
1678192681988.7468,29,20,554,8670,70906,53618,241,275
1678192683485.025,29,20,555,8579,70906,53200,241,999
1678192686330.292,29,20,555,8579,70556,52941,243,999
1678192687788.457,29,20,555,8579,70906,53200,243,350
1678192690692.344,29,20,555,8688,71542,53565,240,999
1678192692200.947,29,20,554,8597,70278,52941,240,999
1678192693695.194,29,20,555,8615,71188,53408,240,999
