 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678191766152.263,29,21,572,8110,70836,52631,82,303
1678191769034.218,29,21,572,7860,70556,52426,80,999
1678191770508.251,29,21,571,7860,70347,52528,82,999
1678191773350.32,29,21,571,7842,71400,52786,81,999
1678191774800.257,29,21,571,7860,71118,52734,81,191
1678191777687.991,29,21,570,7860,71329,52889,80,999
1678191779181.642,29,21,570,7860,71118,52941,80,999
1678191782106.4602,29,21,570,7860,71613,53044,81,999
1678191783597.2358,29,21,570,7824,70977,52323,82,999
1678191786468.478,29,21,570,7789,70626,52119,80,911
1678191787974.0652,29,21,569,7806,70486,52119,82,999
1678191789451.977,29,21,569,7753,70977,51713,81,784
1678191792339.667,29,21,570,7753,71118,52170,81,999
1678191793809.456,29,21,569,7735,71118,52170,84,688
1678191796639.3481,29,21,568,7789,71542,52221,85,999
1678191798134.5068,29,21,568,7842,70836,52528,155,999
1678191801105.3,29,21,568,7949,71684,52992,1001,999
1678191802590.2678,29,21,568,7913,71613,53252,1002,147
1678191805383.2358,29,21,568,8002,71755,53565,161,81
1678191806813.8809,29,21,567,8020,71542,53722,203,58
1678191809645.626,29,21,567,8056,71684,54091,273,999
1678191811088.26,29,21,567,8110,72040,54197,171,95
1678191813899.331,29,21,567,8110,72112,54303,239,141
1678191815435.9119,29,21,567,8181,71118,54516,1002,405
1678191818221.034,29,21,567,8145,71188,54144,205,243
1678191819726.1929,29,21,567,8074,71542,53880,1002,265
1678191821284.456,29,21,566,8074,71542,54197,1002,999
1678191824141.298,29,21,566,8038,70836,53461,40,210
1678191825677.342,29,21,566,8056,70696,53252,1002,999
1678191828489.151,29,21,565,8074,71118,53461,270,216
1678191829956.93,29,21,565,8038,71542,53356,332,197
1678191832800.287,29,21,566,8110,71969,53828,372,443
1678191834295.534,29,21,566,8145,71542,53828,388,870
1678191837126.724,29,21,567,8145,70696,53618,388,211
1678191838574.438,29,21,567,8145,71329,53986,388,147
1678191841432.7249,29,21,567,8145,71118,54091,486,222
1678191842898.793,29,21,567,8110,71542,53986,391,145
1678191845813.204,29,21,567,8181,71755,54569,1002,662
1678191847299.093,29,21,567,8343,71755,54622,1003,78
1678191848794.01,29,21,567,8199,71047,54250,1002,38
1678191851654.573,29,21,567,8163,70836,53828,1003,698
1678191853164.9111,29,21,567,8199,71047,53618,1002,469
1678191856003.253,29,21,567,8092,71118,53513,38,200
1678191857490.081,29,21,566,8056,70766,53252,727,230
1678191860382.94,29,21,566,8056,70836,53044,456,159
1678191861895.7368,29,21,567,8074,70836,53304,1002,370
1678191864800.281,29,21,567,8145,70906,54038,1002,182
1678191866312.686,29,21,567,8128,70977,53880,1002,143
1678191867813.5222,29,21,567,8145,70696,53618,1002,143
1678191870730.258,29,21,567,8110,71329,53513,1002,144
1678191872226.74,29,21,567,8128,70696,53461,1002,143
1678191875153.135,29,21,567,8128,70556,53408,1002,165
