 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678190779529.899,28,21,553,5266,73779,56247,710,109
1678190782326.065,28,21,553,5266,74148,56467,96,148
1678190783769.4658,28,21,554,5266,74370,56577,142,100
1678190786570.185,28,21,554,5348,73926,56633,226,224
1678190788062.123,28,21,554,5332,74370,56577,168,999
1678190789540.21,28,21,554,5299,74074,56357,970,181
1678190792317.656,28,21,553,5316,74592,56412,92,255
1678190793769.1792,28,21,553,5299,73926,55973,137,175
1678190796538.97,28,21,554,5365,73853,55212,176,69
1678190799318.805,28,21,554,5365,73706,55973,172,72
1678190800822.9639,28,21,554,5398,73559,55809,1002,99
1678190802318.701,28,21,555,5398,73633,56247,1002,115
1678190805106.088,28,21,554,5463,74592,56799,177,95
1678190806610.2358,28,21,554,5529,73559,56357,1002,258
1678190809374.793,28,21,555,5529,74148,56910,63,180
1678190810832.4011,28,21,555,5562,74295,56577,64,183
1678190813704.277,28,21,555,5595,73926,56854,174,435
1678190815185.934,28,21,555,5612,74221,57356,172,999
1678190818034.989,28,21,555,5629,73926,57356,253,302
1678190819535.361,28,21,555,5629,73413,57133,251,999
1678190822481.573,28,21,555,5678,73486,57189,1002,999
1678190823925.8052,28,21,555,5678,73926,57244,75,169
1678190826762.9722,28,21,555,5712,74000,57244,88,999
1678190828204.7988,28,21,555,5761,73926,57356,147,310
1678190831049.053,28,21,555,5795,74518,57920,1002,206
1678190832508.187,28,21,555,5761,73926,57244,213,138
1678190833970.287,28,21,555,5761,73779,57356,114,705
1678190836744.594,28,21,555,5861,73926,57469,101,142
1678190838220.356,28,21,555,5861,74148,57920,1002,148
1678190841056.916,28,21,555,5911,74370,58203,193,359
1678190842567.313,28,21,555,5928,73706,57920,207,1074
1678190845387.341,28,21,555,5962,74221,59120,288,293
1678190846849.35,28,21,554,5928,73926,57806,105,146
1678190849641.523,28,21,554,5895,73267,57525,136,268
1678190851131.178,28,21,553,5895,73706,57694,1002,296
1678190853971.05,28,21,553,5928,73559,56854,143,98
1678190855420.307,28,21,553,5895,73486,57077,148,141
1678190858331.3,28,21,553,5911,73340,56192,283,999
1678190859818.203,28,21,553,5911,73779,56910,284,999
1678190862727.3408,28,21,552,6012,73413,57244,879,148
1678190864158.0652,28,21,552,6045,73926,57412,97,148
1678190866996.222,28,21,553,6062,74000,57412,905,498
1678190868476.614,28,21,553,6062,73926,57356,1002,91
1678190869967.102,28,21,553,6079,73706,57806,1002,292
1678190872864.24,28,21,553,6113,73706,57581,1002,244
1678190874351.799,28,21,553,6146,73926,57920,875,196
1678190877253.617,28,21,553,6146,73194,57694,1002,171
1678190878703.0188,28,21,553,6281,73267,57976,507,106
